Date,Open,High,Low,Close,Volume
2022-03-04 00:00:00,42454.5,42505.1,38099.3,38099.3,148.316
2022-03-04 00:01:00,42430.8,44402.4,42298.6,42458.8,136.589
2022-03-04 00:02:00,42452.3,42501.0,42417.6,42453.7,71.969
2022-03-04 00:03:00,42462.0,42498.7,42448.6,42459.3,100.47
2022-03-04 00:04:00,42462.1,46409.5,42448.6,46409.5,118.795
2022-03-04 00:05:00,45033.1,47202.2,42479.8,42484.9,130.645
2022-03-04 00:06:00,42484.9,42496.8,42200.0,42444.5,453.684
2022-03-04 00:07:00,42444.5,42448.4,42387.3,42436.8,309.784
2022-03-04 00:08:00,42415.4,42418.5,42200.0,42360.8,61.16
2022-03-04 00:09:00,42333.3,42411.8,42247.6,42289.9,156.459
2022-03-04 00:10:00,42289.9,42329.9,42268.7,42298.6,58.218
2022-03-04 00:11:00,42307.9,42533.9,42288.4,42310.8,292.627
2022-03-04 00:12:00,42310.8,42327.1,42200.0,42296.9,70.582
2022-03-04 00:13:00,42298.4,42306.4,42258.0,42261.9,21.075
2022-03-04 00:14:00,42258.0,42309.8,42256.7,42257.2,75.535
2022-03-04 00:15:00,42257.2,42304.2,41934.4,42247.5,507.256
2022-03-04 00:16:00,42254.2,42305.9,41880.0,42238.4,55.482
2022-03-04 00:17:00,42236.5,42242.5,37929.3,42197.6,70.928
2022-03-04 00:18:00,42190.9,42224.9,42179.6,42213.6,335.113
2022-03-04 00:19:00,42216.2,42216.2,42193.9,42197.8,77.426
2022-03-04 00:20:00,42193.9,42207.3,42157.8,42192.6,58.546
2022-03-04 00:21:00,42165.9,42408.7,42163.4,42218.8,174.604
2022-03-04 00:22:00,42223.3,42258.8,42178.4,42178.4,194.669
2022-03-04 00:23:00,42190.0,42192.0,42032.3,42123.5,301.286
2022-03-04 00:24:00,42129.2,42154.2,42119.3,42154.2,118.818
2022-03-04 00:25:00,42143.3,42163.5,42143.3,42152.7,76.422
2022-03-04 00:26:00,42159.2,42182.0,42119.3,42173.4,173.754
2022-03-04 00:27:00,42163.9,42177.3,42155.5,42172.8,71.693
2022-03-04 00:28:00,42158.9,42212.8,42158.9,42199.1,399.253
2022-03-04 00:29:00,42182.1,42217.0,42178.9,42197.9,140.262
2022-03-04 00:30:00,42197.9,42237.9,42192.8,42227.7,169.118
2022-03-04 00:31:00,42227.7,42241.7,42157.6,42157.6,227.3
2022-03-04 00:32:00,42172.2,42196.3,42141.4,42196.3,138.612
2022-03-04 00:33:00,42191.3,42267.7,42182.0,42240.6,86.305
2022-03-04 00:34:00,42225.3,48588.9,42220.8,42273.9,97.756
2022-03-04 00:35:00,42281.7,44412.1,42220.8,42318.8,224.672
2022-03-04 00:36:00,42346.5,43276.2,42220.8,42307.1,122.639
2022-03-04 00:37:00,42313.0,45411.2,42285.0,42285.0,167.047
2022-03-04 00:38:00,42294.8,44304.9,42245.0,42245.0,335.317
2022-03-04 00:39:00,42272.2,42290.0,42245.0,42259.3,104.199
2022-03-04 00:40:00,42266.7,47626.8,42259.3,47626.8,274.191
2022-03-04 00:41:00,44348.3,47813.6,42202.6,42291.0,151.694
2022-03-04 00:42:00,42265.5,42290.2,42235.9,42256.4,232.547
2022-03-04 00:43:00,42253.1,42290.2,42200.0,42200.0,166.375
2022-03-04 00:44:00,42216.3,42220.5,42110.5,42116.3,151.751
2022-03-04 00:45:00,42116.3,42164.1,42032.3,42050.8,123.271
2022-03-04 00:46:00,42032.3,42032.3,41665.4,41730.9,316.518
2022-03-04 00:47:00,41730.2,41747.1,41221.8,41726.8,264.182
2022-03-04 00:48:00,41753.6,41766.9,41672.8,41672.8,334.472
2022-03-04 00:49:00,41672.8,41711.4,41622.0,41711.4,126.326
2022-03-04 00:50:00,41705.9,41719.4,41566.8,41702.0,198.037
2022-03-04 00:51:00,41669.6,41719.4,41556.4,41621.4,334.548
2022-03-04 00:52:00,41621.4,41659.9,41557.7,41586.6,370.294
2022-03-04 00:53:00,41610.2,41625.8,41562.7,41575.4,257.99
2022-03-04 00:54:00,41565.4,41609.3,41551.6,41568.0,112.452
2022-03-04 00:55:00,41568.9,41634.3,41549.2,41620.8,199.438
2022-03-04 00:56:00,41618.3,41636.0,41580.8,41581.6,300.026
2022-03-04 00:57:00,41580.8,41606.4,41545.9,41545.9,300.495
2022-03-04 00:58:00,41545.9,41588.6,41524.8,41550.1,417.854
2022-03-04 00:59:00,41577.4,41599.2,41510.1,41599.2,161.196
2022-03-04 01:00:00,41604.1,41617.2,41543.7,41543.7,325.126
2022-03-04 01:01:00,41543.7,41546.2,41406.9,41494.1,253.858
2022-03-04 01:02:00,41494.1,41536.3,41436.4,41513.0,175.993
2022-03-04 01:03:00,41513.0,41535.9,41464.2,41529.8,272.658
2022-03-04 01:04:00,41532.3,41633.5,41520.8,41608.0,330.043
2022-03-04 01:05:00,41608.0,41747.1,41568.0,41654.6,213.056
2022-03-04 01:06:00,41665.0,41665.0,41553.8,41596.0,316.131
2022-03-04 01:07:00,41571.7,41596.0,41465.2,41495.2,306.393
2022-03-04 01:08:00,41495.2,41495.2,40243.3,41298.0,435.931
2022-03-04 01:09:00,41375.0,41375.3,41171.8,41171.8,158.932
2022-03-04 01:10:00,41229.2,41336.3,41171.8,41231.2,477.027
2022-03-04 01:11:00,41235.0,41235.0,40383.0,41128.0,440.341
2022-03-04 01:12:00,41082.5,41283.8,41082.5,41173.3,319.457
